PlotObservationID,cover,species
GR90,0.5,Circaea lutetiana L.
GR90,0.5,Epilobium montanum L.
GR90,0.5,Euphorbia amygdaloides L.
GR90,0.5,Fagus sylvatica L.
GR90,0.5,Fragaria vesca L.
GR90,0.5,Galium rotundifolium L.
GR90,0.5,Luzula nivea (L.) DC.
GR90,0.5,Milium effusum L.
GR90,0.5,Mycelis muralis (L.) Dumort.
GR90,0.5,Polygonatum multiflorum (L.) All.
GR90,0.5,Pteridium aquilinum (L.) Kuhn
GR90,0.5,Rubus hirtus Waldst. & Kit.
GR90,0.5,Sanicula europaea L.
GR90,0.5,Viola reichenbachiana Jord. ex Boreau
GR90,87.5,Abies alba Mill.
GR90,37.5,Senecio fuchsii C.C.Gmel.
GR90,15,Salvia glutinosa L.
GR90,3,Cardamine chelidonia L.
GR90,3,Geranium robertianum L.
GR90,3,Oxalis acetosella L.
GR90,3,Rubus idaeus L.
KU72,0.1,Brachypodium sylvaticum (Huds.) P.Beauv.
KU72,0.1,Campanula trachelium L.
KU72,0.1,Circaea lutetiana L.
KU72,0.1,Clematis vitalba L.
KU72,0.1,Epilobium montanum L.
KU72,0.1,Fraxinus ornus L.
KU72,0.1,Mycelis muralis (L.) Dumort.
KU72,0.1,Solidago virgaurea L.
KU72,0.1,Tamus communis L.
KU72,0.5,Daphne laureola L.
